"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-07","0.00","P,,0,0800",,,"56",",,0","35",",,0","53",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-08","0.00","P,,0,0800",,,"65",",,0","45",",,0","48",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-09","0.00","P,,0,0800",,,"68",",,0","27",",,0","27",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-10","0.01",",,0,0800",,,"23",",I,0","10",",,0","12",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-11","0.00","P,,0,0800",,,"19",",,0","8",",,0","14",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-12","0.00","P,,0,0800",,,"33",",,0","14",",,0","29",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-13","0.00","P,,0,0800",,,"45",",,0","26",",,0","29",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-14","0.00","P,,0,0800",,,"39",",,0","18",",,0","27",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-15","0.00","P,,0,0800",,,"39",",,0","20",",,0","31",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-16","0.00","P,,0,0800",,,"39",",,0","19",",,0","30",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-17","0.00","P,,0,0800",,,"38",",,0","26",",,0","31",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-18","0.00","P,,0,0800",,,"44",",,0","28",",,0","35",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-19","0.00","P,,0,0800",,,"47",",,0","24",",,0","36",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-20","0.00","P,,0,0800",,,"48",",,0","27",",,0","37",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-21","0.00","P,,0,0800",,,"47",",,0","32",",,0","35",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-22","0.00","P,,0,0800",,,"46",",,0","35",",,0","41",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-23","0.00","P,,0,0800",,,"52",",,0","29",",,0","38",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-24","0.00","P,,0,0800",,,"60",",,0","31",",,0","39",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-25","0.00","P,,0,0800",,,"64",",,0","39",",,0","51",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-26","0.21",",,0,0800",,,"59",",,0","43",",,0","46",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-27","0.05",",,0,0800",,,"53",",,0","38",",,0","41",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-28","0.02",",,0,0800",,,"58",",,0","36",",,0","39",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-29","0.00","P,,0,0800",,,"59",",,0","36",",,0","42",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-30","0.00","P,,0,0800",,,"72",",,0","43",",,0","54",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-31","0.37",",,0,0800",,,"56",",,0","33",",,0","34",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-01","0.53",",,0,0800",,,"34",",,0","17",",,0","29",",,0,0800"
